Lemmatized Text,Labels
congrats nokia number video camera phone call number call cost numberppm ave call numbermins vary mobile number close number post bcmnumber ldn wcnumbernnumberxx,spam
booked ticket pongal,ham
available like right around hillsborough amp lt gt th,ham
message sent askin lt gt dollar shoul pay lt gt lt gt,ham
ask g iouri told story like ten time already,ham
long applebees fucking take,ham
hi hope get txt journey hasnt gd number min late think,ham
like love arrange,ham
yes really great bhaji told kallis best cricketer sachin world tough get,ham
supposed wake gt,ham
oic saw tot din c found group liao,ham
sorry call later,ham
hey hey werethe monkeespeople say monkeyaround howdy gorgeous,ham
sorry battery died come getting gram place,ham
well done blimey exercise yeah kinda remember wot hmm,ham
wont get concentration dear know mind everything,ham
lol made plan new year,ham
number min later k,ham
hank lotsly,ham
thanks hope good day today,ham
k k detail want transfer acc enough,ham
ok tell stay yeah tough optimistic thing improve month,ham
loan purpose currencynumber currencynumber number homeowner tenant welcome previously refused still help call free number number text back help,spam
si si think ill go make oreo truffle,ham
look amy beautiful intelligent woman like lot know dont like like dont worry,ham
hope result consistently intelligent kind start asking practicum link keep ear open best ttyl,ham
number call cost guess isnt bad miss ya need ya want ya love ya,ham
going thru different feeling wavering decision coping individual time heal everything believe,ham
go phone gonna die stay,ham
great never better day give even reason thank god,ham
upgrdcentre orange customer may claim free camera phone upgrade loyalty call number number number offer end numberth july c apply opt available,spam
sorry call later ok bye,ham
ok way railway,ham
great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night,ham
put stuff road keep getting slippery,ham
going ride bike,ham
yup need jus wait number e rain number stop,ham
many company tell language,ham
okmail dear dave final notice collect number tenerife holiday number cash award call number landline tc sae boxnumber cwnumberwx numberppm,spam
long since screamed princess,ham
nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust numberja person sending account detail co,ham
want number get laid tonight want real dogging location sent direct number mob join uk largest dogging network txting moan numbernyt ecnumbera numberp msg numberp,spam
nice line said broken heart plz cum number time infront wise trust good numbert,ham
ok gonna head usf like fifteen minute,ham
love aathi love lot,ham
tension ah machi problem,ham
k pick another numberth done,ham
guy getting back g said thinking staying mcr,ham
almost see sec,ham
yo carlos friend already asking working weekend,ham
watching tv lor,ham
thank baby cant wait taste real thing,ham
change fb jaykwon thuglyfe falconerf,ham
win really number side long time,ham
free message activate number free text message replying message word free term condition visit www number com,spam
dear reached railway happen,ham
depends quality want type sent boye faded glory number want ralphs maybe number,ham
think fixed send test message,ham
sorry man account dry would want could trade back half could buy shit credit card,ham
congrats number year special cinema pas number call number c suprman v matrixnumber starwarsnumber etc number free bxnumber ipnumber numberwe numberpm miss,spam
sorry meeting call later,ham
class lt gt reunion,ham
free call,ham
got meh,ham
nope think go monday sorry replied late,ham
told accenture confirm true,ham
kate jackson rec center numberish right,ham
dear reache room,ham
fighting world easy either win lose bt fightng somenumber close dificult lose lose win still lose,ham
_ come,ham
check nuerologist,ham
lolnice went fish water,ham
number congratulation week competition draw currencynumber prize claim call number bnumber c stop sm number number numberppm,spam
waiting e car dat bored wat co wait outside got nothing number home stuff watch tv wat,ham
maybe westshore hyde park village place near house,ham
know anthony bringing money school fee pay rent stuff like thats need help friend need,ham
significance,ham
opinion number number jada number kusruthi number lovable number silent number spl character number matured number stylish number simple pls reply,ham
number latest g still scrounge ammo want give new ak try,ham
prabha soryda realy frm heart sory,ham
lol ok forgiven,ham
jst change tat,ham
guaranteed latest nokia phone numbergb ipod mpnumber player currencynumber prize txt word collect number ibhltd ldnwnumberh numberp mtmsgrcvdnumber,spam
competition,ham
boltblue tone numberp reply poly mono eg polynumber number cha cha slide number yeah number slow jamz number toxic number come stop number tone txt,spam
credit topped http www bubbletext com renewal pin tgxxrz,spam
way transport le problematic sat night way want ask n join bday feel free need know definite no booking fri,ham
usually person unconscious child adult may behave abnormally call,ham
ebay might le elsewhere,ham
shall come get pickle,ham
gonna go get taco,ham
rude campus,ham
urgent mobile awarded currencynumber number bonus caller prize number number number numbernd attempt contact call number number number boxnumberqu,spam
hi b ard number christmas enjoy n merry x ma,ham
today offer claim currencynumber worth discount voucher text yes number savamob member offer mobile c number currencynumber sub number unsub reply x,spam
yes pretty lady like single,ham
recieve tone within next numberhrs term condition please see channel teletext pg number,spam
jay say double faggot,ham
private number account statement number show number un redeemed point call number identifier code number expires number number number,spam
today sunday sunday holiday work,ham
gudnite tc practice going,ham
late,ham
called hoping lnumberr malaria know miss guy miss ban big pls give love especially great day,ham
good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea,ham
probably gonna see later tonight lt,ham
maybe fat finger press button know,ham
ummmmmaah many many happy return day dear sweet heart happy birthday dear,ham
tirupur da started office call,ham
www applausestore com monthlysubscription numberp msg maxnumber month csc web agenumber numberstop txt stop,spam
famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,ham
going college pa else ill come self pa,ham
number oclock mine bash flat plan,ham
girl stay bed girl need recovery time id rather pas fun cooped bed,ham
special,ham
know need get hotel got invitation apologise cali sweet come english bloke weddin,ham
sorry took long omw,ham
wait lt gt min,ham
ok give number minute think see btw alibi cutting hair whole time,ham
imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,ham
hurry weed deficient like three day,ham
sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,ham
ok every night take warm bath drink cup milk see work magic still need loose weight know,ham
look frying pan case cheap book perhaps silly frying pan likely book,ham
well uv cause mutation sunscreen like essential thesedays,ham
lunch online,ham
know friend already told,ham
hi princess thank pic pretty,ham
aiyo always c ex one dunno abt mei reply first time reply fast lucky workin huh got bao sugardad ah gee,ham
hi msg office,ham
thanx number e brownie v nice,ham
geeeee love much barely stand,ham
gent trying contact last weekend draw show currencynumber prize guaranteed call number claim code knumber valid numberhrs numberppm,spam
fuck babe miss already know let send money towards net need want crave,ham
ill call numbermrw ninish address icky american freek wont stop callin number bad jen k eh,ham
oooh bed ridden ey thinking,ham
anyways go gym whatever love smile hope ok good day babe miss much already,ham
love daddy make scream pleasure going slap as dick,ham
wot wanna missy,ham
yar lor wait number mum number finish sch lunch lor whole morning stay home clean room room quite clean hee,ham
know lab goggles went,ham
open door,ham
waiting call,ham
nope waiting sch number daddy,ham
number number cash number number prize claim callnumber,spam
tired arguing week week want,ham
wait number sch finish ard number,ham
mobile number currencynumber claim call u back ring claim hot line number,spam
arngd marriage r walkin unfortuntly snake bite bt love marriage dancing frnt snake amp sayin bite bite,ham
huh early _ dinner outside izzit,ham
ok anyway need change said,ham
tried contact reply offer number min number textand new video phone call number reply free delivery tomorrow,spam
ex wife able kid want kid one day,ham
scotland hope showing jjc tendency take care live dream,ham
tell headache want use number hour sick time,ham
dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den,ham
pete please ring meive hardly gotany credit,ham
ya srsly better yi tho,ham
meeting call later,ham
chance win currencynumber wkly shopping spree txt shop number c www txt number shop com custcare number numberxnumberp wk,spam
specially selected receive number pound award call number line close cost numberppm number c apply ag promo,spam
private number account statement number show number un redeemed point call number identifier code number expires number number number,spam
still grand prix,ham
met stranger choose friend long world stand friendship never end let friend forever gud nitz,ham
great,ham
gud mrng dear nice day,ham
important customer service announcement call freephone number number number,spam
exhausted train morning much wine pie sleep well,ham
going buy mum present ar,ham
mind blastin tsunami occur rajnikant stopped swimming indian ocean,ham
sending home first ok lor ready yet,ham
speaking cash yet,ham
happy come noon,ham
meet lunch la,ham
take care n get well soon,ham
xclusive clubsaisai numbermorow number number soiree speciale zouk nichols paris free rose number lady info number number,spam
meant say cant wait see getting bored bridgwater banter,ham
neva mind ok,ham
fine imma get drink somethin want come find,ham
number day kick euronumber kept date latest news result daily removed send get txt stop number,spam
valentine game send dis msg friend number answer r someone really love ques colour suit best rply,ham
many dependent,ham
thanxnumber today cer nice number catch ave number find time often oh well take care c soon c,ham
called said choose future,ham
happy valentine day know early hundred handsomes beauty wish thought finish aunty uncle numberst,ham
like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt reaction lor,ham
family happiness,ham
come n pick _ come immediately aft lesson,ham
let snow let snow kind weather brings ppl together friendship grow,ham
dear got lt gt dollar hi hi,ham
good word word may leave dismay many time,ham
make sure alex know birthday fifteen minute far concerned,ham
sorry got thing may pub later,ham
nah straight bring bud drink something actually little useful straight cash,ham
haha good hear officially paid market numberth,ham
many lick take get center tootsie pop,ham
yup thk r e teacher said make face look longer darren ask number cut short,ham
