,Lemmatized Text,Labels
100,okay name price long legal wen pick ave x am xx,ham
101,still looking car buy gone numberthe driving test yet,ham
102,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune,ham
103,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,ham
104,umma life vava umma love lot dear,ham
105,thanks lot wish birthday thanks making birthday truly memorable,ham
106,aight hit get cash,ham
107,would ip address test considering computer minecraft server,ham
108,know grumpy old people mom like better lying always one play joke,ham
109,worry guess busy,ham
110,plural noun research,ham
111,going dinner msg,ham
112,ok wif co like number try new thing scared dun like mah co said loud,ham
113,gent trying contact last weekend draw show currencynumber prize guaranteed call number claim code knumber valid numberhrs numberppm,spam
114,wa openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,ham
115,entered cabin pa said happy b day bos felt special askd number lunch lunch invited apartment went,ham
116,winner specially selected number receive currencynumber number holiday flight inc speak live operator number claim numberp min number,spam
117,goodo yes must speak friday egg potato ratio tortilla needed,ham
118,hmm uncle informed paying school directly pls buy food,ham
119,private number account statement number show number unredeemed bonus point claim call number identifier code number expires,spam
120,urgent mobile awarded currencynumber bonus caller prize number number number final try contact call landline number boxnumberwrnumberc numberppm,spam
121,new address apple pair malarky,ham
122,today voda number ending number selected receive currencynumber award match please call number quoting claim code number standard rate app,spam
123,going sao mu today done number,ham
124,predict wat time _ finish buying,ham
125,good stuff,ham
126,know yetunde sent money yet sent text bother sending involve anything imposed anything first place apologise,ham
127,room,ham
128,hey girl r hope r well del r bak long time c give call sum time lucyxx,ham
129,k k much cost,ham
130,home,ham
131,dear call tmorrow pls accomodate,ham
132,first answer question,ham
133,sunshine quiz wkly q win top sony dvd player know country algarve txt ansr number currencynumber sp tyrone,spam
134,want number get laid tonight want real dogging location sent direct number mob join uk largest dogging network bt txting gravel number nt ecnumbera numberp msg numberp,spam
135,email,ham
136,call meet,ham
137,check room befor activity,ham
138,rcv msg chat svc free hardcore service text go number get nothing must age verify yr network try,spam
139,got c lazy type forgot _ lect saw pouch like v nice,ham
140,k text way,ham
141,sir waiting mail,ham
142,swt thought nver get tired little thing number lovable person coz somtimes little thing occupy biggest part heart gud ninumber,ham
143,know pls open back,ham
144,yes see ya dot,ham
145,whats staff name taking class u,ham
146,freemsg replied text randy sexy female live local luv hear netcollex ltd numberp per msg reply stop end,spam
147,ummma call check life begin qatar pls pray hard,ham
148,k deleted contact,ham
149,sindu got job birla soft,ham
150,wine flowing nevering,ham
151,yup thk cine better co need number go number plaza mah,ham
152,ok typical reply,ham
153,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune,ham
154,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one,ham
155,aaooooright work,ham
156,leaving house,ham
157,hello love get interview today happy good boy think missing,ham
158,customer service annoncement new year delivery waiting please call number arrange delivery,spam
159,winner specially selected number receive currencynumber cash number holiday flight inc speak live operator number claim number,spam
160,keep safe need miss already envy everyone see real life,ham
161,new car house parent new job hand,ham
162,love excited day spend make happy,ham
163,pls stop bootydelious number f inviting friend reply yes number number see www sm ac bootydelious stop send stop frnd number,spam
164,bangbabes order way receive service msg number download content goto wap bangb tv mobile internet service menu,spam
165,place point e culture module already,ham
166,urgent trying contact last weekend draw show currencynumber prize guaranteed call number claim code snumber valid numberhrs,spam
167,hi frnd best way avoid missunderstding wit beloved one,ham
168,great escape fancy bridge need lager see tomo,ham
169,yes completely form clark also utter waste,ham
170,sir need axis bank account bank address,ham
171,hmmm thk sure got time hop ard ya go number free abt muz call discus liao,ham
172,time coming later,ham
173,bloody hell cant believe forgot surname mr ill give clue spanish begin,ham
174,well gonna finish bath good fine night,ham
175,let know got money carlos make call,ham
176,still going mall,ham
177,turn friend staying whole show back til lt gt feel free go ahead smoke currency lt gt worth,ham
178,text doesnt reply let know log,ham
179,hi spoke maneesha v like know satisfied experience reply toll free yes,ham
180,lifted hope offer money need especially end month approach hurt studying anyways grnumber weekend,ham
181,lol trust,ham
182,ok gentleman treat dignity respect,ham
183,guy close,ham
184,going nothing great bye,ham
185,hello handsome finding job lazy working towards getting back net mummy boytoy miss,ham
186,haha awesome minute,ham
187,please call customer service representative freephone number number number numberam numberpm guaranteed currencynumber cash currencynumber prize,spam
188,got xmas radio time get,ham
189,jus reached home go bathe first si using net tell finish k,ham
190,unique enough find numberth august www areyouunique co uk,spam
191,sorry joined league people keep touch mean great deal friend time even great personal cost great week,ham
192,hi finally completed course,ham
193,stop however suggest stay someone able give or every stool,ham
194,hope settled new school year wishin grnumber day,ham
195,gud mrng dear hav nice day,ham
196,got person story,ham
197,hamster dead hey tmr meet numberpm orchard mrt,ham
198,hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx,ham
199,found enc lt gt,ham
200,sent lt gt buck,ham
201,hello darlin ive finished college txt finish love kate xxx,ham
202,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,ham
203,goodmorning sleeping ga,ham
204,call alter number ok,ham
205,say like dat dun buy ericsson oso cannot oredi lar,ham
206,entered cabin pa said happy b day bos felt special askd number lunch lunch invited apartment went,ham
207,aight yo dat straight dogg,ham
208,please give u connection today lt decimal gt refund bill,ham
209,shoot big load get ready,ham
210,bruv hope great break rewarding semester,ham
211,home always chat,ham
212,k k good study well,ham
213,yup _ noe leh,ham
214,sound great home,ham
215,finally match heading towards draw prediction,ham
216,tired slept well past night,ham
217,easy ah sen got selected mean good,ham
218,take exam march number,ham
219,yeah think use gt atm register sure anyway help let know sure ready,ham
220,ok prob take time,ham
221,o called ubandu run without installing hard disk use o copy important file system give repair shop,ham
222,sorry call later,ham
223,say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,ham
224,number new mobile number must go txt nokia number collect today currencynumber www number tc biz numberoptout numbergbp mtmsgnumber,spam
225,would really appreciate call need someone talk,ham
226,meet dream partner soon career number flyng start number find free txt horo followed star sign e g horo aries,spam
227,hey company elama po mudyadhu,ham
228,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,ham
229,dear good morning,ham
230,get gandhipuram walk cross cut road right side lt gt street road turn first right,ham
231,dear going rubber place,ham
232,sorry battery died yeah,ham
233,yes tv always available work place,ham
234,text meet someone sexy today find date even flirt join number numberp reply name age eg sam number number msg recd thirtyeight penny,spam
235,printed oh lt gt come upstairs,ham
236,ill little closer like bus stop street,ham
237,wil reach,ham
238,new theory argument win situation loses person argue friend kick amp say always correct,ham
239,number secret admirer looking number make contact find r reveal think special call number,spam
240,tomarrow final hearing laptop case cant,ham
241,pleassssssseeeeee tel v avent done sportsx,ham
242,okay shining meant signing sound better,ham
243,although told dat baig face watch really like e watch gave co fr thanx number everything dat done today touched,ham
244,remember old commercial,ham
245,late said website slipper,ham
246,asked call ok,ham
247,kallis wont bat numbernd inning,ham
248,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,ham
249,congratulation awarded number cd voucher numbergift guaranteed free entry number number wkly draw txt music number tncs www ldew comnumberwinnumberppmxnumberagenumber,spam
250,ranjith cal drpd deeraj deepak numbermin hold,ham
251,wen lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,ham
252,,ham
253,ups numberdays also shipping company take numberwks way usps take week get lag may bribe nipost get stuff,ham
254,back lemme know ready,ham
255,necessarily expect done get back though headin,ham
256,mmm yummy babe nice jolt suzy,ham
257,lover need,ham
258,tried contact reply offer video handset number anytime network min unlimited text camcorder reply call number,spam
259,parked next mini coming today think,ham
260,yup,ham
261,anyway going shopping co si done yet dun disturb liao,ham
262,luton number ring around h,ham
263,hey really horny want chat see naked text hot number text charged numberpm unsubscribe text stop number,spam
264,dint come u,ham
265,wana plan trip sometme,ham
266,sure yet still trying get hold,ham
267,ringtone service changed number free credit go clubnumbermobiles com choose content stop txt club stop number numberp wk clubnumber po boxnumber mknumber numberwt,spam
268,evo download flash jealous,ham
269,ringtone club get uk single chart mobile week choose top quality ringtone message free charge,spam
270,come mu sorting narcotic situation,ham
271,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay,ham
272,hmv bonus special number pound genuine hmv voucher answer number easy question play send hmv number info www numberpercent real com,spam
273,usf guess might well take number car,ham
274,objection bf coming,ham
275,thanx,ham
276,tell rob mack gf theater,ham
277,awesome see bit,ham
278,sent type food like,ham
279,done handed celebration full swing yet,ham
280,got called tool,ham
281,wen miss someone,ham
282,ok asked money far,ham
283,okie,ham
284,yeah think usual guy still passed last night get ahold anybody let know throw,ham
285,k might come tonight class let early,ham
286,ok,ham
287,hi baby cruisin girl friend r number give call hour home thats alright fone fone love jenny xxx,ham
288,life mean lot love life love people life world call friend call world ge,ham
289,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense,ham
290,hey told name gautham ah,ham
291,haf found feel stupid da v cam working,ham
292,oops number got bit,ham
293,much buzy,ham
294,accidentally deleted message resend please,ham
295,mobile customer may claim free camera phone upgrade pay go sim card loyalty call number number number offer end numberthfeb c apply,spam
296,unless situation go gurl would appropriate,ham
297,hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl,ham
298,cant pick phone right pls send message,ham
299,need coffee run tomo believe time week already,ham
300,awesome remember last time got somebody high first time diesel v,ham
301,shit really shocking scary cant imagine second def night think somewhere could crash night save taxi,ham
302,oh way food fridge want go meal tonight,ham
303,womdarfull actor,ham
304,sm ac blind date numberu roddsnumber number aberdeen united kingdom check http img sm ac w icmbnumbercktznumberrnumber number blind date send hide,spam
305,yup remb think book,ham
306,jos ask wana meet,ham
307,lol yes friendship hanging thread cause buy stuff,ham
308,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap number,spam
309,garage key bookshelf,ham
310,today accept day accept brother sister lover dearnumber bestnumber closnumber lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,ham
311,think smart win currencynumber week weekly quiz text play number c winnersclub po box number mnumber numberuz number gbpnumber week,spam
312,say give call friend got money definitely buying end week,ham
313,hi way numberday normal way real unique hope know number rest mylife hope find wot lost,ham
314,made day great day,ham
315,k k advance happy pongal,ham
316,hmmm guess go number kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,ham
317,really dude friend afraid,ham
318,december mobile numbermths entitled update latest colour camera mobile free call mobile update co free number,spam
319,coffee cake guess,ham
320,merry christmas babe love ya kiss,ham
321,hey go watch x men lunch haha,ham
322,cud tell ppl gona b bit lnumber co number bus hav gon past co full still waitin number number pete x,ham
323,would great guild could meet bristol road somewhere get touch weekend plan take flight good week,ham
324,problem,ham
325,call message missed call,ham
326,hi da today class,ham
327,say good sign well know track record reading woman,ham
328,cool text parked,ham
329,reading text sent meant joke read light,ham
330,k k apo k good movie,ham
331,maybe could get book tomo return immediately something,ham
332,call germany number penny per minute call fixed line via access number number number number number prepayment direct access,spam
333,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,ham
334,valentine day special win currencynumber quiz take partner trip lifetime send go number numberp msg rcvd custcare number,spam
335,ta daaaaa home babe still,ham
336,cool come havent wined dined,ham
337,sleeping surfing,ham
338,sorry call later,ham
339,calling right call hand phone,ham
340,ok great thanx lot,ham
341,take post come must number text happy reading one wiv hello caroline end favourite bless,ham
342,hiding stranger,ham
343,interested like,ham
344,sister cleared two round birla soft yesterday,ham
345,gudnite tc practice going,ham
346,dis yijue jus saw mail case huiming havent sent num dis num,ham
347,one small prestige problem,ham
348,fancy shag interested sextextuk com txt xxuk suzy number txts cost number per msg tncs website x,spam
349,checking really miss seeing jeremiah great month,ham
350,nah help never iphone,ham
351,car hour half going apeshit,ham
352,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz fault basically good,ham
353,yo guy ever figure much need alcohol jay trying figure much safely spend weed,ham
354,lt gt ish minute number minute ago wtf,ham
355,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,ham
356,congratulation awarded number cd voucher numbergift guaranteed free entry number number wkly draw txt music number tncs www ldew comnumberwinnumberppmxnumberagenumber,spam
357,cash balance currently number pound maximize cash send cash number numberp msg cc number hg suitenumber numberlands row wnumberjnumberhl,spam
358,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,ham
359,hello got st andrew boy long way cold keep posted,ham
360,ha ha cool cool chikku chikku db,ham
361,oh ok prob,ham
362,check audrey status right,ham
363,busy trying finish new year looking forward finally meeting,ham
364,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,ham
365,well know z take care worry,ham
366,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double min number txt orange call mobileupdnumber number callnumberoptout fnumberq,spam
367,discount code rpnumber stop message reply stop www regalportfolio co uk customer service number,spam
368,wat uniform get,ham
369,cool text ready,ham
370,hello boytoy geeee miss already woke wish bed cuddling love,ham
371,spoil bed well,ham
372,going bath msg next lt gt min,ham
373,cant keep talking people sure pay agree price pls tell want really buy much willing pay,ham
374,thanks ringtone order reference tnumber charged gbp number per week unsubscribe anytime calling customer service number,spam
375,say happen,ham
376,could seen recognise face,ham
377,well lot thing happening lindsay new year sigh bar ptbo blue heron something going,ham
378,keep payasam rinu brings,ham
379,taught ranjith sir called sm like becaus he verifying project prabu told today pa mistake,ham
380,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin,ham
381,yeah sure give couple minute track wallet,ham
382,hey leave big deal take care,ham
383,hey late ah meet number,ham
384,double min txts number numbermonths free bluetooth orange available sony nokia motorola phone call mobileupdnumber number callnumberoptout nnumberdx,spam
385,took mr owl number lick,ham
386,customer place call,ham
387,mm time like fun,ham
388,numbermths half price orange line rental latest camera phone number free phone numbermths call mobilesdirect free number update ornumberstoptxt,spam
389,yup lunch buffet eat already,ham
390,huh late fr dinner,ham
391,hey sat going intro pilate kickboxing,ham
392,morning ok,ham
393,yes think office lap room think thats last day didnt shut,ham
394,pick bout numberish time going,ham
395,performance award calculated every two month current one month period,ham
396,actually sleeping still might call back text grnumber rock si send text wen wake,ham
397,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated,ham
398,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,ham
399,hmmm k want change field quickly da wanna get system administrator network administrator,ham
400,free ringtone text first number poly text get number true tone help number number number numberst free tone numberxcurrencynumberpw ecurrencynd txt stop,spam
401,dear chechi talk,ham
402,hair cream shipped,ham
403,none happening til get though,ham
404,yep great loxahatchee xmas tree burning lt gt start hour,ham
405,haha get used driving usf man know lot stoner,ham
406,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always,ham
407,hello good week fancy drink something later,ham
408,headin towards busetop,ham
409,message text missing sender name missing number missing sent date missing missing lot thats everything missing sent via fullonsms com,ham
410,come room point iron plan weekend,ham
411,co want thing,ham
412,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,ham
413,bring home wendy,ham
414,number dating service cal l number boxnumbersknumberch,spam
415,whatsup want sleep,ham
416,alright new goal,ham
417,free entry currencynumber weekly competition text word win number number c www txttowin co uk,spam
418,alright head minute text meet,ham
419,send logo number lover number name joined heart txt love namenumber namenumber mobno eg love adam eve number number yahoo poboxnumberwnumberwq txtno number ad numberp,spam
420,yes last week taking live call,ham
421,someone contacted dating service entered phone fancy find call landline number poboxnumbernnumbertfnumberp,spam
422,siva hostel aha,ham
423,urgent mobile number awarded currencynumber prize guaranteed call number land line claim number valid numberhrs,spam
424,send friend receive something voice speaking expression number childish number naughty number sentiment number rowdy number ful attitude number romantic number shy number attractive number funny lt gt irritating lt gt lovable reply,ham
425,ok ok guess,ham
426,aathi dear,ham
427,pain urination thing else,ham
428,number esplanade _ mind giving lift co got car today,ham
429,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,ham
430,home watching tv lor,ham
431,usually take fifteen fucking minute respond yes question,ham
432,congrats nokia number video camera phone call number call cost numberppm ave call numbermins vary mobile number close number post bcmnumber ldn wcnumbernnumberxx,spam
433,booked ticket pongal,ham
434,available like right around hillsborough amp lt gt th,ham
435,message sent askin lt gt dollar shoul pay lt gt lt gt,ham
436,ask g iouri told story like ten time already,ham
437,long applebees fucking take,ham
438,hi hope get txt journey hasnt gd number min late think,ham
439,like love arrange,ham
440,yes really great bhaji told kallis best cricketer sachin world tough get,ham
441,supposed wake gt,ham
442,oic saw tot din c found group liao,ham
443,sorry call later,ham
444,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,ham
445,sorry battery died come getting gram place,ham
446,well done blimey exercise yeah kinda remember wot hmm,ham
447,wont get concentration dear know mind everything,ham
448,lol made plan new year,ham
449,number min later k,ham
450,hank lotsly,ham
451,thanks hope good day today,ham
452,k k detail want transfer acc enough,ham
453,ok tell stay yeah tough optimistic thing improve month,ham
454,loan purpose currencynumber currencynumber number homeowner tenant welcome previously refused still help call free number number text back help,spam
455,si si think ill go make oreo truffle,ham
456,look amy beautiful intelligent woman like lot know dont like like dont worry,ham
457,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl,ham
458,number call cost guess isnt bad miss ya need ya want ya love ya,ham
459,going thru different feeling wavering decision coping individual time heal everything believe,ham
460,go phone gonna die stay,ham
461,great never better day give even reason thank god,ham
462,upgrdcentre orange customer may claim free camera phone upgrade loyalty call number number number offer end numberth july c apply opt available,spam
463,sorry call later ok bye,ham
464,ok way railway,ham
465,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night,ham
466,put stuff road keep getting slippery,ham
467,going ride bike,ham
468,yup need jus wait number e rain number stop,ham
469,many company tell language,ham
470,okmail dear dave final notice collect number tenerife holiday number cash award call number landline tc sae boxnumber cwnumberwx numberppm,spam
471,long since screamed princess,ham
472,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust numberja person sending account detail co,ham
473,want number get laid tonight want real dogging location sent direct number mob join uk largest dogging network txting moan numbernyt ecnumbera numberp msg numberp,spam
474,nice line said broken heart plz cum number time infront wise trust good numbert,ham
475,ok gonna head usf like fifteen minute,ham
476,love aathi love lot,ham
477,tension ah machi problem,ham
478,k pick another numberth done,ham
479,guy getting back g said thinking staying mcr,ham
480,almost see sec,ham
481,yo carlos friend already asking working weekend,ham
482,watching tv lor,ham
483,thank baby cant wait taste real thing,ham
484,change fb jaykwon thuglyfe falconerf,ham
485,win really number side long time,ham
486,free message activate number free text message replying message word free term condition visit www number com,spam
487,dear reached railway happen,ham
488,depends quality want type sent boye faded glory number want ralphs maybe number,ham
489,think fixed send test message,ham
490,sorry man account dry would want could trade back half could buy shit credit card,ham
491,congrats number year special cinema pas number call number c suprman v matrixnumber starwarsnumber etc number free bxnumber ipnumber numberwe numberpm miss,spam
492,sorry meeting call later,ham
493,class lt gt reunion,ham
494,free call,ham
495,got meh,ham
496,nope think go monday sorry replied late,ham
497,told accenture confirm true,ham
498,kate jackson rec center numberish right,ham
499,dear reache room,ham
500,fighting world easy either win lose bt fightng somenumber close dificult lose lose win still lose,ham
501,_ come,ham
502,check nuerologist,ham
503,lolnice went fish water,ham
504,number congratulation week competition draw currencynumber prize claim call number bnumber c stop sm number number numberppm,spam
505,waiting e car dat bored wat co wait outside got nothing number home stuff watch tv wat,ham
506,maybe westshore hyde park village place near house,ham
507,know anthony bringing money school fee pay rent stuff like thats need help friend need,ham
508,significance,ham
509,opinion number number jada number kusruthi number lovable number silent number spl character number matured number stylish number simple pls reply,ham
510,number latest g still scrounge ammo want give new ak try,ham
511,prabha soryda realy frm heart sory,ham
512,lol ok forgiven,ham
513,jst change tat,ham
514,guaranteed latest nokia phone numbergb ipod mpnumber player currencynumber prize txt word collect number ibhltd ldnwnumberh numberp mtmsgrcvdnumber,spam
515,competition,ham
516,boltblue tone numberp reply poly mono eg polynumber number cha cha slide number yeah number slow jamz number toxic number come stop number tone txt,spam
517,credit topped http www bubbletext com renewal pin tgxxrz,spam
518,way transport le problematic sat night way want ask n join bday feel free need know definite no booking fri,ham
519,usually person unconscious child adult may behave abnormally call,ham
520,ebay might le elsewhere,ham
521,shall come get pickle,ham
522,gonna go get taco,ham
523,rude campus,ham
524,urgent mobile awarded currencynumber number bonus caller prize number number number numbernd attempt contact call number number number boxnumberqu,spam
525,hi b ard number christmas enjoy n merry x ma,ham
526,today offer claim currencynumber worth discount voucher text yes number savamob member offer mobile c number currencynumber sub number unsub reply x,spam
527,yes pretty lady like single,ham
528,recieve tone within next numberhrs term condition please see channel teletext pg number,spam
529,jay say double faggot,ham
530,private number account statement number show number un redeemed point call number identifier code number expires number number number,spam
531,today sunday sunday holiday work,ham
532,gudnite tc practice going,ham
533,late,ham
534,called hoping lnumberr malaria know miss guy miss ban big pls give love especially great day,ham
535,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea,ham
536,probably gonna see later tonight lt,ham
537,maybe fat finger press button know,ham
538,ummmmmaah many many happy return day dear sweet heart happy birthday dear,ham
539,tirupur da started office call,ham
540,www applausestore com monthlysubscription numberp msg maxnumber month csc web agenumber numberstop txt stop,spam
541,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,ham
542,going college pa else ill come self pa,ham
543,number oclock mine bash flat plan,ham
544,girl stay bed girl need recovery time id rather pas fun cooped bed,ham
545,special,ham
546,know need get hotel got invitation apologise cali sweet come english bloke weddin,ham
547,sorry took long omw,ham
548,wait lt gt min,ham
549,ok give number minute think see btw alibi cutting hair whole time,ham
550,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,ham
551,hurry weed deficient like three day,ham
552,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,ham
553,ok every night take warm bath drink cup milk see work magic still need loose weight know,ham
554,look frying pan case cheap book perhaps silly frying pan likely book,ham
555,well uv cause mutation sunscreen like essential thesedays,ham
556,lunch online,ham
557,know friend already told,ham
558,hi princess thank pic pretty,ham
559,aiyo always c ex one dunno abt mei reply first time reply fast lucky workin huh got bao sugardad ah gee,ham
560,hi msg office,ham
561,thanx number e brownie v nice,ham
562,geeeee love much barely stand,ham
563,gent trying contact last weekend draw show currencynumber prize guaranteed call number claim code knumber valid numberhrs numberppm,spam
564,fuck babe miss already know let send money towards net need want crave,ham
565,ill call numbermrw ninish address icky american freek wont stop callin number bad jen k eh,ham
566,oooh bed ridden ey thinking,ham
567,anyways go gym whatever love smile hope ok good day babe miss much already,ham
568,love daddy make scream pleasure going slap as dick,ham
569,wot wanna missy,ham
570,yar lor wait number mum number finish sch lunch lor whole morning stay home clean room room quite clean hee,ham
571,know lab goggles went,ham
572,open door,ham
573,waiting call,ham
